IP,HOSTNAME,DATE,TIME
10.41.17.1,rtpulapar01a-vlan700,03/17/2024,19:57:34
10.41.17.5,LWPULADM02,03/17/2024,19:57:35
10.41.17.8,LWPULQUA01,03/17/2024,19:57:36
10.41.17.9,LWPULADM01,03/17/2024,19:57:36
10.41.17.12,PC0SC9ZX,03/17/2024,19:57:38
10.41.17.15,WPHC005978-010041017015,03/17/2024,19:57:39
10.41.17.25,PC0SC9ZL,03/17/2024,19:57:43
10.41.17.28,PF1PX91H,03/17/2024,19:57:44
10.41.17.35,WPHC006709,03/17/2024,19:57:47
10.41.17.37,WPHC002270,03/17/2024,19:57:48
10.41.17.94,N/A,03/17/2024,19:58:15
10.41.17.193,rtpulapar01a-vlan305,03/17/2024,19:59:05
10.41.17.241,N/A,03/17/2024,19:59:28
10.41.17.243,N/A,03/17/2024,19:59:29
10.41.17.248,N/A,03/17/2024,19:59:31
