IP,HOSTNAME,DATE,TIME
10.41.12.2,N/A,11/13/2023,21:53:23
10.41.12.7,swgsrapacs01a,11/13/2023,21:53:25
10.41.12.8,swgsrapacs02a,11/13/2023,21:53:25
10.41.12.9,swgsrapacs03a-l100,11/13/2023,21:53:25
10.41.12.10,swgsrapacs04a,11/13/2023,21:53:25
10.41.12.14,MON-10-41-12-14-imp,11/13/2023,21:53:27
10.41.12.16,MON-10-41-12-16-imp,11/13/2023,21:53:27
10.41.12.21,MON-10-41-12-21-imp,11/13/2023,21:53:29
10.41.12.33,lwgsradm03,11/13/2023,21:53:35
10.41.12.42,lwgsradm04,11/13/2023,21:53:39
10.41.12.44,lwgsradm02,11/13/2023,21:53:39
10.41.12.45,lwgsradm01,11/13/2023,21:53:39
10.41.12.79,SEP20370617C01A,11/13/2023,21:53:56
10.41.12.90,PC0JXF4J,11/13/2023,21:54:01
10.41.12.242,N/A,11/13/2023,21:55:16
10.41.12.243,N/A,11/13/2023,21:55:16
