IP,HOSTNAME,DATE,TIME
10.41.17.1,rtpulapar01a-vlan700,10/27/2023,16:56:49
10.41.17.5,LWPULADM02,10/27/2023,16:56:50
10.41.17.6,LWPULPRD01,10/27/2023,16:56:50
10.41.17.8,LWPULQUA01,10/27/2023,16:56:51
10.41.17.9,LWPULADM01,10/27/2023,16:56:51
10.41.17.15,WPHC005978-010041017015,10/27/2023,16:56:53
10.41.17.25,PF1PX91H,10/27/2023,16:56:58
10.41.17.36,PC0SC9ZL,10/27/2023,16:57:03
10.41.17.82,N/A,10/27/2023,16:57:25
10.41.17.193,rtpulapar01a-vlan305,10/27/2023,16:58:20
10.41.17.241,N/A,10/27/2023,16:58:44
10.41.17.242,N/A,10/27/2023,16:58:44
10.41.17.248,N/A,10/27/2023,16:58:46
