IP,HOSTNAME,DATE,TIME
10.41.12.2,N/A,11/26/2023,05:53:25
10.41.12.7,swgsrapacs01a,11/26/2023,05:53:27
10.41.12.8,swgsrapacs02a,11/26/2023,05:53:27
10.41.12.10,swgsrapacs04a,11/26/2023,05:53:27
10.41.12.14,MON-10-41-12-14-imp,11/26/2023,05:53:29
10.41.12.16,MON-10-41-12-16-imp,11/26/2023,05:53:29
10.41.12.18,PC0SC9ZV,11/26/2023,05:53:30
10.41.12.21,MON-10-41-12-21-imp,11/26/2023,05:53:31
10.41.12.25,PC0JXF4F,11/26/2023,05:53:32
10.41.12.31,LWGSRSPT01,11/26/2023,05:53:35
10.41.12.33,lwgsradm03,11/26/2023,05:53:35
10.41.12.39,PC0SC9ZK,11/26/2023,05:53:38
10.41.12.42,lwgsradm04,11/26/2023,05:53:39
10.41.12.44,lwgsradm02,11/26/2023,05:53:39
10.41.12.45,lwgsradm01,11/26/2023,05:53:40
10.41.12.57,PC0JXF4G,11/26/2023,05:53:45
10.41.12.79,SEP20370617C01A,11/26/2023,05:53:55
10.41.12.90,PC0JXF4J,11/26/2023,05:54:00
10.41.12.242,N/A,11/26/2023,05:55:16
10.41.12.243,N/A,11/26/2023,05:55:16
